experiment_dir,dataset,mode,scheduler,scheduler_ablation,split_protocol,seed,partition_seed,arch_seed,noise_multiplier,dp_enabled,rounds,client_id,arch_name,num_samples,unique_labels,accuracy,macro_f1,loss
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,6,wide_cnn,7933,6,0.5515625,0.448244571685791,1.7105011463165283
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,7,wide_cnn,7635,9,0.0875,0.016091953963041306,2.308858299255371
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,8,tiny_mobilenet,4988,10,0.5890625,0.4546147286891937,1.6021538496017456
outputs/fedproto_mnist_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223416,mnist,FedProto-style,mobile,,fixed,42,42,42,0.5,true,15,9,tiny_mobilenet,3233,10,0.2890625,0.16615457832813263,1.9652086973190308
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,0,tiny_resnet,6337,9,0.7921875,0.758187472820282,1.2003300428390502
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,1,tiny_resnet,8840,10,0.6453125,0.5444138050079346,1.550076150894165
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,2,small_cnn,6771,8,0.7015625,0.6185646057128906,1.333543610572815
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,3,small_cnn,7976,5,0.4234375,0.2553836405277252,2.3821322441101076
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,4,small_cnn,4703,10,0.365625,0.2967177927494049,2.040251040458679
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,5,wide_cnn,1584,9,0.0953125,0.017403708770871162,2.3156862258911133
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,6,wide_cnn,7933,6,0.54375,0.4349348545074463,2.0440930843353273
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,7,wide_cnn,7635,9,0.553125,0.4298935830593109,1.5027522563934326
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,8,tiny_mobilenet,4988,10,0.6125,0.48947709798812866,1.7161664962768555
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,independent,42,42,42,0.5,true,15,9,tiny_mobilenet,3233,10,0.3140625,0.2224612534046173,1.8363225698471068
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,0,tiny_resnet,6337,9,0.0921875,0.01688125915825367,2.3129499435424803
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,1,tiny_resnet,8840,10,0.65625,0.546184778213501,1.5378952026367188
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,2,small_cnn,6771,8,0.7671875,0.6845282316207886,1.1900443077087401
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,3,small_cnn,7976,5,0.515625,0.35694658756256104,2.4131991863250732
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,4,small_cnn,4703,10,0.653125,0.604727029800415,1.118112313747406
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,5,wide_cnn,1584,9,0.0921875,0.01688125915825367,2.305515193939209
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,6,wide_cnn,7933,6,0.553125,0.4304090440273285,1.9229605197906494
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,7,wide_cnn,7635,9,0.4984375,0.36994069814682007,1.8942786693572997
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,8,tiny_mobilenet,4988,10,0.5859375,0.4483451843261719,1.7302608251571656
outputs/fedproto_mnist_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230028,mnist,FedProto-style,mobile,,fixed,43,42,42,0.5,true,15,9,tiny_mobilenet,3233,10,0.321875,0.2159568816423416,1.953789520263672
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,0,tiny_mobilenet,4368,8,0.50625,0.38276976346969604,1.7980383396148683
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,1,wide_cnn,5384,10,0.0890625,0.016355810686945915,2.306182098388672
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,2,small_cnn,6731,6,0.5796875,0.44770121574401855,1.9095616102218629
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,3,wide_cnn,6538,10,0.675,0.6015052199363708,1.176540160179138
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,4,wide_cnn,6052,9,0.45625,0.33315524458885193,1.8012290716171264
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,5,small_cnn,7470,7,0.6046875,0.45703190565109253,2.0117217779159544
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,6,tiny_resnet,4107,10,0.5796875,0.48576679825782776,1.4513511896133422
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,7,tiny_mobilenet,6117,8,0.5875,0.48632001876831055,1.9148650407791137
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,8,small_cnn,7209,8,0.628125,0.5309012532234192,1.7516948938369752
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,independent,43,43,43,0.5,true,15,9,tiny_resnet,6024,9,0.7015625,0.5883902907371521,1.2103063821792603
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,0,tiny_resnet,6337,9,0.85,0.8152508735656738,0.743298327922821
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,1,tiny_resnet,8840,10,0.6765625,0.5627009868621826,1.3925646543502808
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,2,small_cnn,6771,8,0.784375,0.6970325112342834,1.0590010404586792
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,3,small_cnn,7976,5,0.4265625,0.2592160105705261,2.3627076625823973
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,4,small_cnn,4703,10,0.625,0.5476452708244324,1.2506973266601562
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,5,wide_cnn,1584,9,0.0953125,0.017403708770871162,2.308457612991333
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,6,wide_cnn,7933,6,0.0890625,0.016355810686945915,2.314755392074585
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,7,wide_cnn,7635,9,0.4921875,0.34009450674057007,1.9488520622253418
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,8,tiny_mobilenet,4988,10,0.5890625,0.44806113839149475,1.703565239906311
outputs/fedproto_mnist_mobile_sigma05_seed44_fixedsplit_cuda_20260418_232015,mnist,FedProto-style,mobile,,fixed,44,42,42,0.5,true,15,9,tiny_mobilenet,3233,10,0.31875,0.2043016403913498,1.8936850547790527
outputs/fedproto_mnist_mobile_sigma05_seed44_indsplit_trace_20260419_011132,mnist,FedProto-style,mobile,,independent,44,44,44,0.5,true,15,0,wide_cnn,8564,7,0.1078125,0.01946403458714485,2.3093450546264647
outputs/fedproto_mnist_mobile_sigma05_seed44_indsplit_trace_20260419_011132,mnist,FedProto-style,mobile,,independent,44,44,44,0.5,true,15,1,tiny_resnet,7956,10,0.6015625,0.5196566581726074,1.7230051040649415
